Name,Number in Deck,Play,Play 2,Effect,Flavor Text,Type,Expansion,Faction,Promissory Note Owner
Insubordination,1,Action:,,Remove 1 token from another player's tactic pool and return it to their reinforcements.,"Kilik had never been particularly good at following orders. It only seemed natural to get paid for exercising that trait, as long as she didn't think to hard about where the money was coming from.",Action Card,Base,Any,
Intercept,1,After your opponent declares a retreat during a space combat:,,Your opponent cannot retreat during this round of space combat.,"The space before the fleeing ship shimmered and warped, revealing the bow of the Y'sia Yssrila bearing down on its position. There would be no escape today.",Action Card,Base,Any,
Leadership Rider,1,After an agenda is revealed:,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, gain 3 command tokens.",Rev's impassioned speech stunned the other councilors. Perhaps there was more to these humans than they had initially thought.,Action Card,Base,Any,
Lost Star Chart,1,After you activate a system:,,"During this tactical action, systems that contain alpha and beta wormholes are adjacent to each other.",The ship's sensors showed that the ancient star-map had somehow led them beyond the Mahact plateau.,Action Card,Base,Any,
Lucky Shot,1,Action:,,"Destroy 1 dreadnought, cruiser, or destroyer in a system that contains a planet you control.","The missile - an insignificant spark against the darkness - struck the hull of the dreadnought. Moments later, the starboard flank erupted in flames.",Action Card,Base,Any,
Maneuvering Jets,4,Before you assign hits produced by another player's Space Cannon roll:,,Cancel 1 hit.,"(1) Something was wrong. T'esla sensed a flicker of movement on the planet's surface, followed by a faint glint of light. Reflexively, she veered her fighter to the side - an action that saved her life.(2) The fighter's thruster boosted her just out of the cannon's firing solution, and a metal slug the size of a building rocketed past her crystalline ship.(3) T'esla breathed a sigh of relief as the massive slug disappeared into the distance. A touch slower and she would have been annihilated.(4) The flickering red warning lights on her control panel reflected in her scales as she regained her composure. ""Well,"" she said aloud. ""Zat was close.""",Action Card,Base,Any,
Mining Initiative,1,Action:,,Gain trade goods equal to the resource value of 1 planet you control.,"To support its voracious war machine, the N'orr empire cracked the planet's crust and began mining its very core.",Action Card,Base,Any,
Morale Boost,4,At the start of a combat round:,,Apply +1 to the result of each of your unit's combat rolls during this combat round.,"(1) Harrugh stood before his warriors, searching for the words that would express the pride that swelled within him.(2) ""We have done the impossible. I am proud to call you my brothers. My equals. My betters."" Harrugh's whiskers bristled with energy as he spoke.(3) ""Today we turn these invaders to ash and take back what is ours!"" Harrugh paused, noting the murmurs of approval rippling through the ranks.(4) The whispering gradually died down and his warriors watched Harrugh expectantly. Every muscle in his body tensed, and he thrust his gyro-spear skyward. ""For Kenara!""",Action Card,Base,Any,
Parley,1,After another player commits units to land on a planet you control:,,Return the committed units to the space area.,"The human admiral returned to his ship, struggling to remember precisely how his meeting with the Collective had gone.",Action Card,Base,Any,
Plague,1,Action:,,"Choose 1 planet that is controlled by another player.  Roll 1 die for each infantry on that planet. For each result of 6 or greater, destroy 1 of those units.","The letani dipped a mossy limb beneath the surface of the reservoir, feeling the flow of the particles within, shifting them, changing them into something different. Something dangerous.",Action Card,Base,Any,
Political Stability,1,When you would return your strategy card(s) during the status phase:,,Do not return your strategy card(s). You do not choose strategy cards during the next strategy phase.,The Winnu councilor breathed a sigh of relief. This opportunity would not be wasted. The peace of the Lazax was within grasp.,Action Card,Base,Any,
Politics Rider,1,After an agenda is revealed:,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, draw 3 action cards and gain the speaker token.","The Dirzuga had managed to negotiate themselves into a position of power amongst the other councilors, all of whom still looked terribly uncomfortable in their presence.",Action Card,Base,Any,
Public Disgrace,1,When another player chooses a strategy card during the strategy phase:,,"That player must choose a different strategy card instead, if able.","In the months that followed the report, the Council was quick to censure the Jol-Nar for their unethical practices.",Action Card,Base,Any,
Reactor Meltdown,1,Action:,,Destroy 1 space dock in a non-home system.,"Flames engulfed the shipyard, a vortex of fire and shrapnel that left nothing untouched.",Action Card,Base,Any,
Reparations,1,After another player gains control of a planet you control:,,Exhaust 1 planet that player controls and ready 1 planet you control.,"Gila oversaw the reconstruction of the Hacan outpost, but neglected to inform the N'orr representative that the damage was not nearly as severe as he was led to believe.",Action Card,Base,Any,
Repeal Law,1,Action:,,Discard 1 law from play.,"Eventually, the N'orr diplomat came to an agreement with Hacan Garrus, and the embargo was repealed. Still, he couldn't shake the feeling that Garrus had gotten the better end of the deal.",Action Card,Base,Any,
Rise of a Messiah,1,Action:,,Place 1 infantry from your reinforcements on each planet you control.,"Harrugh stood atop the dunes, looking down at the thousands of Hacan warriors mustered below. Gathering his strength, he let loose a mighty roar, the will of his people throughout the galaxy echoing forth from within.",Action Card,Base,Any,
Sabotage,4,"When another player plays an action card other than ""Sabotage"":",,Cancel that action card.,"(1) Q'uesh Sish tapped her claws impatiently. ""You were sssaying?"" But the confused Jol-Nar envoy stood silent. It was as if the words had escaped his thoughts entirely.
(2) trjn.desgn.ALIZARIN introduced itself to each data nodes, incorporating them into its platform, expunging any data it deemed a threat to the Virus.
(3) unit.desgn.BEELZEBUL followed the group of men through the winding hallways until they stopped at an intersection. Investigators would later find its cracked oculus at the center of a smoking crater, singed, but still functional.
(4) Unlenn smashed a clenched fist into the bulkhead, green eyes ablaze with rage. The entire plan had been turned on its head. Such incompetence was unfathomable.",Action Card,Base,Any,
Salvage,1,After you win a space combat:,,Your opponent gives you all of their commodities.,"When the Coalition raiders had finally returned to their ships, scarcely a bolt remained to salvage from the destroyed vessel.",Action Card,Base,Any,
Shields Holding,4,Before you assign hits to your ships during a space combat:,,Cancel up to 2 hits.,"(1) T'ro stared unflinching at the incoming barrage through the bridge's observation deck. The shield would hold.(2) The blast from the enemy's main cannon slammed into the space in front of the warship, splitting into two streams across the bow.(3) The ship's shields sizzled and sparked but remained active despite the heavy assault.(4) As the assault died down and it became clear that the ship sustained no major damage, T'ro clicked his mandibles in anticipation. ""Return fire!""",Action Card,Base,Any,
Signal Jamming,1,Action:,,Chose 1 non-home system that contains or is adjacent to 1 of your ships. Place a command token from another player's reinforcements in that system.,"Meian was practically aglow, wisps of her ether crackling with delight. It was amazing what could be achieved with a well-timed electromagnetic discharge.",Action Card,Base,Any,
Skilled Retreat,4,At the start of a combat round:,,"Move all of your ships from the active system into an adjacent system that does not contain another player's ships; the space combat ends in a draw. Then, place a command token from your reinforcements in that system.","(1) In an instant, the Sol fleet vanished from the Barony's scanners.
(2) The Creuss fleet was gone. No trace remained of their passage.
(3) T'ro gave the order, and the entire fleet withdrew without question.
(4) ""We have no choice, captain."" Ciel looked nervous.""We must retreat.""",Action Card,Base,Any,
Spy,1,Action:,,Choose 1 player. That player gives you 1 random action card from their hand.,"""I'm no spy,"" Connor said, casually stuffing the data drives into his pack. ""Now, how can I get out of here without being seen?""",Action Card,Base,Any,
Summit,1,At the start of the strategy phase:,,Gain 2 command tokens.,"At the end of the twelfth day, Rev returned home from the summit in New Moscow feeling physically exhausted and mentally drained. But she was also satisfied. They had a plan - finally - and it was a good plan.",Action Card,Base,Any,
Tactical Bombardment,1,Action:,,Choose 1 system that contains 1 or more of your units that have Bombardment. Exhaust each planet controlled by other players in that system.,"A6's red eyes flickered with activity and a string of numbers flashed briefly across the screen before he spoke. ""Bombardment complete. All enemy installations have been neutralized.""",Action Card,Base,Any,
Technology Rider,1,After an agenda is revealed:,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, research 1 technology.","The Council granted the Yin funding to research an effective countermeasure to combat the virus. After all, keeping the Yin occupied with the virus meant killing two birds with one stone.",Action Card,Base,Any,
Trade Rider,1,After an agenda is revealed:,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, gain 5 trade goods.","The Letnev councilor begrudgingly accepted the N'orr's core mining contract, if only so that the ""gracious"" Hacan senator didn't secure yet another source of income for his clan.",Action Card,Base,Any,
Unexpected Action,1,Action:,,Remove 1 of your command tokens from the game board and return it to your reinforcements.,"M'aban's voice was barely a whisper, cracking as hundreds of flashing lights appeared on her scanner. ""We've been tricked.""",Action Card,Base,Any,
Unstable Planet,1,Action:,,Choose 1 hazardous planet. Exhaust that planet and destroy up to 3 infantry on it.,"Another quake shook the planet, and a wave of dirt and rock rose up to swallow the Tekklar legion.",Action Card,Base,Any,
Upgrade,1,After you activate a system that contains 1 or more of your ships:,,Replace one of your cruisers in that system with one of your dreadnoughts from your reinforcements.,"""More guns?"" Connor shook his head. ""Not more guns. Let's try something bigger.""",Action Card,Base,Any,
Uprising,1,Action:,,Exhaust 1 non-home planet controlled by another player. Then gain trade goods equal to its resource value.,"Harrugh leapt down from the ledge, gyro-spear blazing in the sunlight. In front, the L1Z1X began to take notice. Behind his warriors stood at the ready. Win or lose, this would be the end.",Action Card,Base,Any,
Veto,1,When an agenda is revealed:,,Discard that agenda and reveal 1 agenda from the top of the deck. Players vote on this agenda instead.,"Magmus batted the now charred corpse aside with the back of his golden gauntlet. ""The Muuat reject your proposal.""",Action Card,Base,Any,
War Effort,1,Action:,,Place 1 cruiser from your reinforcements in a system that contains 1 or more of your ships.,"The N'orr may not be the most proficient shipwrights, but the willingness of their citizens to do their part far exceeds that of the other great races.",Action Card,Base,Any,
Warfare Rider,1,After an agenda is revealed:,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, place 1 dreadnought from your reinforcements in a system that contains 1 or more of your ships.","Elder Junn sighed. ""Disarmament, it seems, has fallen out of fashion in these dark days.""",Action Card,Base,Any,
Blitz,1,At the start of an invasion:,,Each of your non-fighter ships in the active system that do not have BOMBARDMENT gain BOMBARDMENT 6 until the end of the invasion.,"""T-these weren't meant to be used like this. T-this is a t-terrible idea."" Tai mumbled, wringing his hands. ""Well 'course it is,"" Dart grinned, slamming his fist down on the release lock. ""But we've got about sixty kilotons of 'surprise' and nothing to lose!""",Action Card,Codex I,Any,
Counterstroke,1,After a player activates a system that contains 1 of your command tokens:,,Return that command token to your tactic pool.,"""That's the thing about loyalty - "" Viktor mused, turning one of the pieces backward, facing its own side. ""It can be bought.""",Action Card,Codex I,Any,
Fighter Conscription,1,Action:,,Place 1 fighter from your reinforcements in each system that contains 1 or more of your space docks or units that have capacity; they cannot be placed in systems that contain other players' ships.,"T'esla grinned as her shimmering vessel lifted off the flight deck - at last, that damned Viscount would experience the superiority of Naalu dogfighting. ""Get ready,"" she hissed into the comms.",Action Card,Codex I,Any,
Forward Supply Base,1,After another player activates a system that contains your units:,,"Gain 3 trade goods. Then, choose another player to gain 1 trade good.","All eyes turned toward the darkening skies as the only surviving supply truck rolled through the gates. ""Get these checked in and send the last shipment to our allies!"" Harrugh yelled over the din of the engines.",Action Card,Codex I,Any,
Ghost Squad,1,After a player commits units to land on a planet you control:,,Move any number of ground forces from any planet you control in the active system to any other planet you control in the active system.,The L1 advance team was expecting to find the outpost abandoned. What they found - unfortunately for them - was Connor.,Action Card,Codex I,Any,
Hack Election,1,After an agenda is revealed:,,"During this agenda, voting begins with the player to the right of the speaker and continues counterclockwise.",YOUR [NULL ID] STATELY GAME WILL BE FOR NAUGHT<< [VAR:42687] ORDER WILL ARISE FROM [VAR:89001] CHAOS<< IT IS OUR HAND THAT CONTROLS THE OUTCOME,Action Card,Codex I,Any,
Harness Energy,1,After you activate an anomaly:,,Replenish your commodities.,"""Manipulating the cosmos was a power reserved for the gods."" Rowl spat at the ground as his contraption whirred to life. ""Not anymore.""",Action Card,Codex I,Any,
Impersonation,1,Action:,,Spend 3 influence to draw 1 secret objective.,"""Also,"" Connor continued, bemused. ""Someone just handed me this as I was leaving. I think it was meant for our dear friend Sucaban. We should be able to put it to good use.""",Action Card,Codex I,Any,
Insider Information,1,After an agenda is revealed:,,Look at the top card of the agenda deck.,"M'aban yawned. Another filibuster. Politics could be so flavorless at times. Besides, she already knew how this one was going to turn out. Not well. Not well at all...",Action Card,Codex I,Any,
Master Plan,1,After you perform an action:,,You may perform an additional action this turn.,Viktor laced his long fingers with a wicked smile. Unlenn would be proud. The tactician's reputation was well-earned; even pawns could unseat kings.,Action Card,Codex I,Any,
Plagiarize,1,Action:,,Spend 5 influence and choose a non-faction technology owned by 1 of your neighbors; gain that technology.,"The Yssaril spies handed over their prize to Connor, who in turn passed it to the Sol engineers with a grim smile. ""Now then, boys,"" he said, one hand on his rifle, ""about those loose ends...""",Action Card,Codex I,Any,
Rally,1,After you activate a system that contains another player's ships:,,Place 2 command tokens from your reinforcements in your fleet pool.,"The Federation advance would not be halted - not today. Claire set her broadcast to play on all open channels. She began, her voice fierce and unwavering ""Friends! On this day, our names shall be inscribed in the pages of legend!""",Action Card,Codex I,Any,
Reflective Shielding,1,When one of your ships uses SUSTAIN DAMAGE during combat:,,Produce 2 hits against your opponent's ships in the active system.,"Prit scrambled up Hesh's shoulder, gleefully clapping as the entropic shielding tore the mercenary cruisers apart.",Action Card,Codex I,Any,
Sanction,1,After an agenda is revealed:,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, each player that voted for that outcome returns 1 command token from their fleet supply to their reinforcements.",Two can play at this game.,Action Card,Codex I,Any,
Scramble Frequency,1,"After another player makes a BOMBARDMENT, SPACE CANNON, or ANTI-FIGHTER BARRAGE roll:",,That player rerolls all of their dice.,"""I will not accept this from that worthless scum!"" Feng growled as his enigmatic companion interfaced with the ship's nav suite. The Memoria's position flickered and shifted, and the blast flashed harmlessly by.",Action Card,Codex I,Any,
Solar Flare,1,After you activate a system:,,"During this movement, other players cannot use SPACE CANNON against your ships.","Meian braced for combat as the fleet entered the Ordinian system, but there were no Valefar droneships waiting to meet them. The solar flare gambit had succeeded - they were completely undetected.",Action Card,Codex I,Any,
War Machine,4,When 1 or more of your units use PRODUCTION:,,Apply +4 to the total PRODUCTION value of your units and reduce the combined cost of the produced units by 1.,"(1) ""This would take weeks to replace if you had run it backwards,"" Varish called as she rotated the massive capacitor bank. ""Okay, fire it up.""(2) The station vibrated as the device sputtered to life, emitting a high-pitched buzz to Varish's ears. ""Micro-wormholes are cycling at 19 kilohertz,"" Cole read. ""The entropic field tap's stable.""(3) The station's production facilities spooled up to new intensities, lights flaring as the assembly line drones increased their speeds to keep up.(4) ""Varish, let the Commanders know they can contact the Tetrarchy. Tell them the fighter squadron assembly will be done ahead of schedule, and under budget.""",Action Card,Codex I,Any,
Archaeological Expedition,1,Action:,,Reveal the top 3 cards of an exploration deck that matches a planet you control; gain any relic fragments that you reveal and discard the rest.,"Hiari pressed the activation glyphs, and the ancient door hissed open. As she stepped into the pitch-black interior of the Mahact tomb, she felt a shiver of anticipation. Perhaps, finally, she would find the Codex.",Action Card,Prophecy of Kings,Any,
Confounding Legal Text,1,When another player is elected as the outcome of an agenda:,,You are the elected player instead.,"""Unfortunately,"" Cinnabian said in a level voice, ""the Galactic Council requires the dispute be arbitrated by a truly neutral party. As the Titans were still slumbering when your war began, we will oversee your negotiations... instead of your friends on Jord.""",Action Card,Prophecy of Kings,Any,
Coup d'Etat,1,When another player would perform a strategic action:,,End that player's turn; the strategic action is not resolved and the strategy card is not exhausted.,"Artuno shoved the slug pistol into Huro's face as armored mercenaries stormed into the office. ""I'm afraid the station's undergoing a change in management.""",Action Card,Prophecy of Kings,Any,
Deadly Plot,1,"During the agenda phase, when an outcome would be resolved:",,"If you voted for or predicted another outcome, discard the agenda instead; the agenda is resolved with no effect and it is not replaced.
Then, exhaust all of your planets.","The hooded envoy erupted into a nightmare of black metal, lunging at the shocked diplomats.",Action Card,Prophecy of Kings,Any,
Decoy Operation,1,After another player activates a system that contains 1 or more of your structures:,,Remove up to 2 of your ground forces from the game board and place them on a planet you control in the active system.,Enemy fire lashed the abandoned positions on the ridgeline as Trilossa's flock slipped unseen around their flanks.,Action Card,Prophecy of Kings,Any,
Diplomatic Pressure,4,When an agenda is revealed:,,Choose another player; that player must give you 1 promissory note from their hand.,"(1) The Arborec emissary leaned close, and Brother Milor flinched at the faint whiff of decay. ""You do not understand,"" Dirzuga Ohao rasped. ""You must support this measure.""(2) Brother Milor shook his head. ""The Brotherhood cannot support your war against this extra-dimensional threat."" Dirzuga Ohao raised an eyebrow. ""Are you certain?""(3) ""It would be unfortunate,"" the Arborec Dirzuga said, ""if your supplies of diraxium were to dry up. How would your fleet defend you if we stopped supplying its fuel?""(4) ""Damn you!"" Brother Milor hissed. ""You leave us no choice but to fight in your war."" Dirzuga Ohao smiled, dead skin stretching over her teeth.",Action Card,Prophecy of Kings,Any,
Divert Funding,1,Action:,,"Return a non-unit upgrade, non-faction technology that you own to your technology deck. Then, research another technology.","""I am sorry, Academician,"" Arbiter Berekon shrugged. ""I am sure psychoarchaeology is an interesting subject, but the supreme leader feels your budget would be better spent on more militaristic research.""",Action Card,Prophecy of Kings,Any,
Exploration Probe,1,Action:,,Explore a frontier token that is in or adjacent to a system that contains 1 or more of your ships.,"With a dull thud, the probe shot from the cruiser and accelerated into the writhing maelstrom of the gravity rift. Admiral DeLouis paced on the bridge. Hopefully, this time the probe would return.",Action Card,Prophecy of Kings,Any,
Manipulate Investments,1,At the start of the Strategy Phase:,,Place a total of 5 trade goods from the supply on strategy cards of your choice; you must place these tokens on at least 3 different cards.,"""But my good fellow,"" the envoy sputtered. ""Surely you can't expect me to agree to those prices!"" Durruq leaned in close. ""Check again. You may find your goods are trading for less than you think.""",Action Card,Prophecy of Kings,Any,
Nav Suite,1,After you activate a system:,,"During the ""Movement"" step of this tactical action, ignore the effects of anomalies.","""The field is too thick!"" Sikosk gasped. Trrakan's plume flared. ""Not for me, and not for Iruth."" A flick of his talon, and the destroyer flipped and dove for the asteroid field.",Action Card,Prophecy of Kings,Any,
Refit Troops,1,Action:,,Choose 1 or 2 of your infantry on the game board; replace each of those infantry with mechs.,"Sek'kus leapt from the trenches, the plasma projectors on her Valkyrie ekoskeleton howling as they scoured the field ahead of her.",Action Card,Prophecy of Kings,Any,
Reveal Prototype,1,At the start of a combat:,,Spend 4 resources to research a unit upgrade technology of the same type as 1 of your units that is participating in this combat.,"Varish and Cole completed the final linkages, activating the field harvester. The cruiser's beams roared with renewed power, cutting through the enemy ship.",Action Card,Prophecy of Kings,Any,
Reverse Engineer,1,When another player discards an action card that has a component action:,,Take that action card from the discard pile.,"Xuange spread their hands over the captured harvester. Mirroring their careful gestures, dark energy fields unfolded and began delicately disassembling the device.",Action Card,Prophecy of Kings,Any,
Rout,1,"At the start of the ""Announce Retreats"" step of space combat, if you are the defender:",,"Your opponent must announce a retreat, if able.","Vuil'raith fleshships swarmed the weary defenders, sending unease and sweeping through the telepathic links. But Z'eu projected a powerful feeling of calm, and the Naalu fighters began to drive the Cabal back toward the rift.",Action Card,Prophecy of Kings,Any,
Scuttle,1,Action:,,Choose 1 or 2 of your non-fighter ships on the game board and return them to your reinforcements; gain trade goods equal to the combined cost of those ships.,"Rear Admiral Farran saluted as he watched the blasted starship being towed to the scrap yard. ""You served me well,"" he whispered. ""Now you can serve the Barony once more.""",Action Card,Prophecy of Kings,Any,
Seize Artifact,1,Action:,,Choose 1 of your neighbors that has 1 or more relic fragments. That player must give you 1 relic fragment of your choice.,"Armored dropships crashed into the main dock. Hatches blew open, and Captain Mentarion and her commando raider charged into the facility's heart.",Action Card,Prophecy of Kings,Any,
Waylay,1,Before you roll dice for ANTI-FIGHTER BARRAGE:,,Hits from this roll are produced against all ships (not just fighters).,"The destroyers sprayed fire with their secondary batteries as they advanced. The Mahact dreadnought began to list, fire and atmosphere gushing from a thousand tiny wounds.",Action Card,Prophecy of Kings,Any,
Anti-Intellectual Revolution,1,After a player researches a technology,At the start of the next strategy phase,"FOR : After a player researches a technology, they must destroy 1 of their non-fighter ships.
AGAINST : At the start of the next strategy phase, each player chooses and exhausts 1 planet for each technology they own.
",,Agenda,Base,Any,
Classified Document Leaks,1,When this agenda is revealed,,"When this agenda is revealed, if there are no scored secret objectives, discard this card and reveal another agenda from the top of the deck.

Elect Scored Secret Objective
 The elected secret objective becomes a public objective; place it near the other public objectives in the common play area.
",,Agenda,Base,Any,
Committee Formation,1,Before players vote on an agenda that requires a player to be elected:,,The owner of this card may discard this card to choose a player to be elected. Players do not vote on that agenda.,,Agenda,Base,Any,
Conventions of War,1,,,"FOR : Players cannot use BOMBARDMENT against units that are on cultural planets.

AGAINST : Each player that voted ""Against"" discards all of their action cards.
",,Agenda,Base,Any,
Core Mining,1,,,"Elect Hazardous Planet

Attach this card to the elected planet's card. Then, destroy 1 infantry on the planet.
The resource value of this planet is increased by 2.",,Agenda,Base,Any,
Demilitarized Zone,1,,,"Elect Cultural Planet

Attach this card to the elected planet's card. Then, destroy all units on that planet.
Player's units cannot land, be produced, or be placed on this planet.",,Agenda,Base,Any,
Enforced Travel Ban,1,,,"FOR : Alpha and beta wormholes have no effect during movement.
AGAINST : Destroy each PDS in or adjacent to a system that contains a wormhole.
",,Agenda,Base,Any,
Executive Sanctions,1,,,"FOR : Each player can have a maximum of 3 action cards in their hand.
AGAINST : Each player discards 1 random action card from their hand.
",,Agenda,Base,Any,
Fleet Regulations,1,,,"FOR : Each player cannot have more than 4 tokens in their fleet pool.
AGAINST : Each player places 1 command token from their reinforcements in their fleet pool.
",,Agenda,Base,Any,
