Name,Condition,Points,Expansion,Phase,Type,
Adapt New Strategies,Own 2 faction technologies. (Valefar Assimilator technologies do not count toward this objective.),1,Base,Status,Secret,
Become the Gatekeeper,Have 1 or more ships in a system that contains an alpha wormhole and 1 or more ships in a system that contains a beta wormhole.,1,Base,Status,Secret,
Control the Region,Have 1 or more ships in 6 systems.,1,Base,Status,Secret,
Cut Supply Lines,Have 1 or more ships in the same system as another player's space dock.,1,Base,Status,Secret,
Establish a Perimeter,Have 4 PDS units on the game board.,1,Base,Status,Secret,
Forge an Alliance,Control 4 cultural planets.,1,Base,Status,Secret,
Form a Spy Network,Discard 5 Action Cards.,1,Base,Status,Secret,
Fuel the War Machine,Have 3 space docks on the game board.,1,Base,Status,Secret,
Gather a Mighty Fleet,Have 5 dreadnoughts on the game board.,1,Base,Status,Secret,
Learn the Secrets of the Cosmos,Have 1 or more ships in 3 systems that are each adjacent to an anomaly.,1,Base,Status,Secret,
Master the Laws of Physics,Own 4 technologies of the same color.,1,Base,Status,Secret,
Mine Rare Metals,Control 4 hazardous planets.,1,Base,Status,Secret,
Monopolize Production,Control 4 industrial planets.,1,Base,Status,Secret,
Occupy the Seat of the Empire,Control Mecatol Rex and have 3 or more ships in its system.,1,Base,Status,Secret,
Threaten Enemies,Have 1 or more ships in a system that is adjacent to another player's home system.,1,Base,Status,Secret,
Defy Space and Time,Have units in the wormhole nexus.,1,Prophecy of Kings,Status,Secret,
Destroy Heretical Works,Purge 2 of your relic fragments of any type.,1,Prophecy of Kings,Status,Secret,
Establish Hegemony,Control planets that have a combined influence value of at least 12.,1,Prophecy of Kings,Status,Secret,
Foster Cohesion,Be neighbors with all other players.,1,Prophecy of Kings,Status,Secret,
Hoard Raw Materials,Control planets that have a combined resource value of at least 12.,1,Prophecy of Kings,Status,Secret,
Mechanize The Military,Have 1 mech on each of 4 planets.,1,Prophecy of Kings,Status,Secret,
Occupy The Fringe,Have 9 or more ground forces on a planet that does not contain 1 of your space docks.,1,Prophecy of Kings,Status,Secret,
Produce En Masse,Have units with a combined PRODUCTION value of at least 8 in a single system.,1,Prophecy of Kings,Status,Secret,
Seize An Icon,Control a legendary planet.,1,Prophecy of Kings,Status,Secret,
Stake your Claim,Control a planet in a system that contains a planet controlled by another player.,1,Prophecy of Kings,Status,Secret,
Strengthen Bonds,Have another player's promissory note in your play area.,1,Prophecy of Kings,Status,Secret,
Dictate Policy,There are 3 or more laws in play.,1,Prophecy of Kings,Agenda,Secret,
Drive the Debate,You or a planet you control are elected by an agenda.,1,Prophecy of Kings,Agenda,Secret,
